group_id,split
8b148305-247.jpg,train
25f69e77-229.jpg,train
024be0a0-237.jpg,train
dd171414-143.jpg,val
c636df10-156.jpg,train
dad6d960-145.jpg,train
af4f53cc-116.jpg,train
2bfaa34c-259.jpg,test
04da7e02-166.jpg,train
0673003e-105.jpg,val
f99e85d7-159.jpg,val
5b7fd5c5-261.jpg,train
bc030429-65.jpg,train
c2e348a2-157.jpg,train
cce45772-253.jpg,train
ec98b5a9-206.jpg,train
36cf3e90-180.jpg,train
90e6305a-46.jpg,train
bb1ba13f-62.jpg,train
c0f75d30-129.jpg,train
308f0530-211.jpg,train
86324d62-226.jpg,train
2b975f8c-52.jpg,train
d2b3cd3c-263.jpg,train
d1bf28ca-279.jpg,train
2ad7a994-114.jpg,test
42d89c9a-196.jpg,test
b2780b3d-277.jpg,train
6f9a3e84-218.jpg,test
3325a022-38.jpg,val
5b6ca6fe-112.jpg,train
cc0eaa25-33.jpg,train
9f786cc0-185.jpg,val
618cea62-118.jpg,val
25cc2c51-280.jpg,test
9d5b0d56-95.jpg,test
3902c87a-245.jpg,val
78ecb279-31.jpg,train
cb7648a4-27.jpg,val
87be61d5-135.jpg,train
236480b3-32.jpg,train
3a08245d-69.jpg,train
5b4153f1-222.jpg,val
cbdcf4fe-16.jpg,train
d683bbb2-188.jpg,train
bf27a3f3-122.jpg,train
91819bd3-51.jpg,train
4d17374f-174.jpg,train
8070dcce-150.jpg,train
7b938f9c-154.jpg,train
cd35e202-111.jpg,train
15b3a4f0-282.jpg,train
4591b6b9-243.jpg,train
9d58e82c-249.jpg,test
fa238421-97.jpg,train
8c477306-142.jpg,train
8e0bfd48-4.jpg,test
a91127f1-77.jpg,val
5c2f8957-162.jpg,train
44ea1618-6.jpg,test
6c17749f-186.jpg,train
03fde12b-182.jpg,train
f07e5340-266.jpg,train
f0daeb4d-28.jpg,train
93742b4a-197.jpg,train
787a9884-160.jpg,train
381372b6-181.jpg,train
6b989eba-275.jpg,train
aa16b183-60.jpg,train
f887a525-273.jpg,train
fb42774b-207.jpg,test
c94855ad-205.jpg,train
137dcfeb-184.jpg,train
512fcc4a-100.jpg,train
c8459c6b-257.jpg,train
27da6333-278.jpg,test
f9687157-53.jpg,train
e0a09bed-254.jpg,train
20635337-63.jpg,train
1ab9d8be-30.jpg,test
3c6f6940-104.jpg,train
642c620f-12.jpg,train
789284b8-137.jpg,train
69a6f8ed-216.jpg,val
4960af30-167.jpg,train
0a339b03-239.jpg,train
9a50228d-127.jpg,train
b1ac5999-271.jpg,val
1d032251-191.jpg,test
9426ba08-43.jpg,train
3cc802ee-202.jpg,test
1f0c7ba1-68.jpg,test
7788d862-136.jpg,test
a1df39ae-119.jpg,train
3e695421-170.jpg,train
55030f8b-29.jpg,test
caf12a43-66.jpg,train
bb531f5d-208.jpg,test
b57361a1-225.jpg,train
446b990b-140.jpg,train
27b9908b-255.jpg,train
3835a768-123.jpg,train
414e441d-281.jpg,train
79c6a9e2-214.jpg,train
