image_id,x,y,w,h,gt_icdas,y_ge1,mask_ge1,y_ge2,mask_ge2,y_ge3,mask_ge3,y_ge4,mask_ge4,y_ge5,mask_ge5,y_ge6,mask_ge6
005ba0eb-58.jpg,415.3178,356.6776,291.5987,305.8802,3,1,1,1,1,1,1,0,1,0,1,0,1
005ba0eb-58.jpg,698.743,400.3446,224.5775,287.1252,2,1,1,1,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,916.0311,394.1934,253.3699,298.214,1,1,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1045.2001,609.1519,247.0286,252.4244,1,1,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1161.0591,365.442,275.7253,294.8795,1,1,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1278.5237,586.9124,232.8647,266.4123,1,1,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1425.6075,336.8239,235.4684,299.5898,1,1,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1500.1436,593.7898,173.8097,254.1443,1,1,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1635.1648,310.7729,205.5802,292.4594,1,1,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1844.3947,320.3553,154.5236,289.8564,1,1,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1797.6158,323.8459,100.0695,277.9203,0,0,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1974.4199,414.6255,25.2736,160.7326,0,0,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1977.3807,433.9131,21.92,147.4842,0,0,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1942.4747,550.7753,57.5253,233.507,0,0,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1939.4806,550.8845,60.5194,236.5253,0,0,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,313.8167,463.0633,203.8586,175.51,0,0,1,0,1,0,1,0,1,0,1,0,1
005ba0eb-58.jpg,1939.489,556.5623,60.511,229.2722,0,0,1,0,1,0,1,0,1,0,1,0,1
