image_id,split
005ba0eb-58.jpg,train
024be0a0-237.jpg,train
02e9f464-193.jpg,val
03e5a7c5-115.jpg,val
03fde12b-182.jpg,train
04da7e02-166.jpg,test
054ab6ae-3.jpg,val
05b8ea11-24.jpg,train
05d52c36-8.jpg,train
0673003e-105.jpg,train
081e97f6-anonymous_003_007_480_01_1728640623511_Mandibular_View.jpg,val
09b24d45-anonymous_003_008_517_01_1728729948616_Mandibular_View.jpg,train
0a02ed91-138.jpg,train
0a339b03-239.jpg,train
0b700680-102.jpg,val
0ceb614e-61.jpg,test
0e895a97-203.jpg,train
0f593e7b-175.jpg,train
0fdf53de-130.jpg,train
100f6601-144.jpg,train
1131e1c7-78.jpg,val
12530f4b-176.jpg,train
125564e4-anonymous_003_007_469_01_1728623438211_Maxillary_Occlusal_View.jpg,train
1283b80b-164.jpg,train
12b1f800-anonymous_003-007-1385-01_1733812781705_Maxillary_Occlusal_View.jpg,train
1355aad5-244.jpg,val
137dcfeb-184.jpg,train
14681870-40.jpg,train
14c214ad-anonymous_003_007_549_01_1728881829256_Mandibular_View.jpg,train
15b3a4f0-282.jpg,test
1628e530-248.jpg,train
1722317c-anonymous_003_007_475_01_1728635243973_Maxillary_Occlusal_View.jpg,train
1726933b-15.jpg,train
1807e28d-anonymous_003_103_347_01_1728037641315_Mandibular_View.jpg,train
1a917ca4-anonymous_003-007-781-01_1729830237968_Maxillary_Occlusal_View.jpg,train
1a95d2ce-anonymous_003-008-620-01_1729083811620_Mandibular_View.jpg,train
1a972cce-219.jpg,train
1ab9d8be-30.jpg,test
1acfb1d2-64.jpg,train
1cec23d6-9.jpg,train
1d032251-191.jpg,train
1d2efdc8-14.jpg,train
1dd4bbee-anonymous_003-008-1306-01_1733398824537_Mandibular_View.jpg,train
1e1b26b1-246.jpg,train
1f0c7ba1-68.jpg,train
20635337-63.jpg,train
22048334-anonymous_003-008-626-01_1729138704180_Maxillary_Occlusal_View.jpg,train
230a33ae-anonymous_003-007-1091-01_1732249857221_Mandibular_View.jpg,train
236480b3-32.jpg,train
239768b5-165.jpg,test
23b77e22-79.jpg,train
23d7d71d-121.jpg,train
245f172f-21.jpg,val
249ddf45-anonymous_003-007-575-01_1728964993041_Maxillary_Occlusal_View.jpg,train
25848956-23.jpg,train
25a2cee6-anonymous_003_103_351_01_1728045002443_Mandibular_View.jpg,train
25cc2c51-280.jpg,train
25e14a52-265.jpg,train
25f69e77-229.jpg,train
267fc608-anonymous_003-008-1133-01_1732530707494_Mandibular_View.jpg,test
27b9908b-255.jpg,train
27da6333-278.jpg,train
27e4fdf6-235.jpg,val
2824f032-264.jpg,val
2ad7a994-114.jpg,train
2b975f8c-52.jpg,train
